City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
142,tolanaro,-25.0319,46.9987,24.04,88,20,6.17,MG,1681847017
143,nuuk,64.1835,-51.7216,-2.66,93,100,5.14,GL,1681846903
144,chibuto,-24.6867,33.5306,19.0,84,32,2.79,MZ,1681847018
145,yuzhno-kurilsk,44.0306,145.8556,2.96,77,100,0.62,RU,1681846916
146,bay roberts,47.5999,-53.2648,5.64,56,100,3.13,CA,1681847018
147,broken hill,-31.95,141.4333,14.29,53,2,4.53,AU,1681846811
148,jinchang,38.4953,102.1739,14.89,28,38,12.32,CN,1681847018
149,lebu,-37.6167,-73.65,13.58,82,100,2.3,CL,1681846913
150,vilyuysk,63.7553,121.6247,-6.65,97,100,2.09,RU,1681846831
151,luganville,-15.5333,167.1667,24.7,87,93,2.19,VU,1681847019
152,constantia,44.1833,28.65,10.39,87,100,2.02,RO,1681847019
153,debark',13.1561,37.8981,17.97,29,94,2.13,ET,1681847019
154,coquimbo,-29.9533,-71.3436,17.85,63,0,6.17,CL,1681846996
155,greymouth,-42.4667,171.2,14.58,88,98,0.22,NZ,1681847019
156,uturoa,-16.7333,-151.4333,28.48,75,96,7.47,PF,1681846940
157,vorgashor,67.5833,63.95,-22.02,98,18,2.59,RU,1681846956
158,bantogon,6.5333,124.0333,25.91,81,7,1.67,PH,1681847021
159,giado,31.9582,12.0203,16.08,34,0,3.08,LY,1681847021
160,tubarjal,30.4999,38.216,23.0,45,7,1.26,SA,1681847021
161,arraias,-12.9288,-46.9437,29.49,48,72,2.31,BR,1681847021
162,praia da vitoria,38.7333,-27.0667,15.14,72,40,2.01,PT,1681847021
163,pietermaritzburg,-29.6168,30.3928,16.37,46,0,2.18,ZA,1681847022
164,east london,-33.0153,27.9116,20.53,79,0,2.69,ZA,1681846808
165,nepean,45.3449,-75.7631,8.09,72,75,6.69,CA,1681847024
166,acapulco de juarez,16.8634,-99.8901,29.9,70,0,6.17,MX,1681847024
167,barcelos,41.5388,-8.6151,19.27,58,93,0.48,PT,1681846870
168,konstantinovsk,47.5828,41.0922,9.05,60,98,5.51,RU,1681847025
169,nova sintra,14.8667,-24.7167,20.5,78,88,9.06,CV,1681846855
170,bubaque,11.2833,-15.8333,26.1,74,100,7.96,GW,1681847025
171,mar del plata,-38.0023,-57.5575,18.01,44,0,6.69,AR,1681847026
172,bredy,52.4153,60.3411,5.89,76,99,1.88,RU,1681847026
173,cabedelo,-6.9811,-34.8339,29.37,79,96,3.1,BR,1681847026
174,turpan,42.9333,89.1667,14.84,15,100,4.58,CN,1681846991
175,chui,-33.6971,-53.4616,17.53,39,46,7.19,UY,1681847027
176,cobourg,50.2667,10.9667,8.9,79,98,2.68,DE,1681846825
177,zvishavane,-20.3267,30.0665,15.43,58,0,1.5,ZW,1681847027
178,oktyabr'skiy,54.4815,53.471,9.38,46,100,1.73,RU,1681847027
179,miryang,35.4933,128.7489,17.95,97,94,0.68,KR,1681847028
180,port-vila,-17.7338,168.3219,22.78,88,20,2.06,VU,1681847028
181,malvan,16.0667,73.4667,27.08,84,0,1.7,IN,1681847028
182,gornopravdinsk,60.05,69.9,-10.6,97,40,1.9,RU,1681847028
183,zambezi,-13.5432,23.1047,19.03,75,23,2.46,ZM,1681847028
184,zhigalovo,54.8097,105.1578,-5.3,63,100,4.33,RU,1681847029
185,glace bay,46.1969,-59.957,4.32,96,100,8.75,CA,1681847029
186,teguise,29.0605,-13.564,19.12,68,75,5.14,ES,1681847029
187,colonia,50.9333,6.95,13.47,60,75,4.12,DE,1681846983
188,guapimirim,-22.5372,-42.9819,28.9,84,100,2.09,BR,1681847029
189,nantucket,41.2835,-70.0995,16.03,67,0,7.72,US,1681846965
190,lautoka,-17.6167,177.4667,23.92,94,40,0.0,FJ,1681847029
191,afaahiti,-17.75,-149.2833,27.93,76,82,8.27,PF,1681846917
192,belmonte,-15.8631,-38.8828,27.26,79,19,4.92,BR,1681847030
193,rio grande,-32.035,-52.0986,24.06,39,81,6.3,BR,1681847030
194,ta`u,-14.2336,-169.5144,26.81,80,100,7.71,AS,1681847030
195,juegang,32.3174,121.1855,14.15,97,100,2.91,CN,1681847030
196,fisterra,42.9049,-9.2629,15.42,74,31,2.67,ES,1681847030
197,namibe,-15.1961,12.1522,25.43,73,30,3.71,AO,1681847031
198,nasice,45.4886,18.0878,12.08,97,100,3.54,HR,1681847031
199,salinopolis,-0.6136,-47.3561,25.67,88,100,3.43,BR,1681847031
200,portland,45.5234,-122.6762,11.1,68,75,6.69,US,1681846542
201,priargunsk,50.3691,119.1012,1.24,37,42,1.53,RU,1681847031
202,haiku-pauwela,20.9219,-156.3051,26.13,64,20,2.24,US,1681847031
203,port alfred,-33.5906,26.891,17.32,96,0,3.71,ZA,1681847031
204,pathein,16.7833,94.7333,27.28,85,33,4.4,MM,1681846859
205,hithadhoo,-0.6,73.0833,28.66,70,100,2.27,MV,1681847032
206,bara,10.3744,10.7288,32.26,28,18,1.07,NG,1681847032
207,sheohar,26.5167,85.3,29.46,19,0,2.96,IN,1681847032
208,qaqortoq,60.7167,-46.0333,1.33,85,27,1.12,GL,1681847032
209,kolonia town,6.964,158.206,26.0,89,100,2.57,FM,1681847032
210,cabo san lucas,22.8909,-109.9124,28.67,50,40,5.14,MX,1681846877
211,bredasdorp,-34.5322,20.0403,15.12,88,51,1.72,ZA,1681847032
212,antofagasta,-23.65,-70.4,19.6,73,63,4.87,CL,1681847033
213,atafu village,-8.5421,-172.5159,27.95,76,76,2.89,TK,1681847033
214,eilat,29.5581,34.9482,30.91,23,0,5.14,IL,1681847033
215,jablonec nad nisou,50.7243,15.1711,9.08,90,95,0.45,CZ,1681847033
216,port mathurin,-19.6833,63.4167,26.47,73,19,9.29,MU,1681846897
217,la ronge,55.1001,-105.2842,3.14,38,75,8.23,CA,1681846895
218,tazacorte,28.629,-17.9293,20.08,82,20,7.2,ES,1681847033
219,tazovsky,67.4667,78.7,-15.37,91,74,3.83,RU,1681847034
220,vytegra,61.0064,36.4481,-0.68,97,77,1.63,RU,1681847034
221,clinton,42.587,-82.9199,8.45,62,100,6.17,US,1681847034
222,fale old settlement,-9.3852,-171.2468,28.05,76,80,3.39,TK,1681846845
223,sokoni,-6.4333,39.55,25.92,85,100,5.49,TZ,1681847034
224,flying fish cove,-10.4217,105.6791,27.38,77,57,6.67,CX,1681847034
225,tutoia,-2.7619,-42.2744,27.26,82,80,3.05,BR,1681847034
226,berezovyy,51.6667,135.7,1.75,81,100,2.0,RU,1681847034
227,okap,19.7578,-72.2042,28.97,65,40,4.12,HT,1681847035
228,puerto escondido,15.85,-97.0667,32.46,66,0,6.17,MX,1681847035
229,cozumel,20.5083,-86.9458,28.3,57,0,6.17,MX,1681847035
230,howard springs,-12.497,131.047,18.95,97,17,2.49,AU,1681846946
231,russkiy,43.0147,131.8642,2.92,84,12,0.94,RU,1681847035
232,mount gambier,-37.8333,140.7667,11.9,66,83,3.71,AU,1681847035
233,zavetnoye,47.1194,43.8903,8.56,53,100,7.38,RU,1681847036
234,elesbao veloso,-6.2019,-42.1403,27.99,67,100,1.49,BR,1681847036
235,banjarmasin,-3.3244,114.591,24.18,95,96,1.01,ID,1681847022
236,ciudad constitucion,25.0369,-111.6644,27.42,25,30,6.24,MX,1681847036
237,wad rawah,15.1603,33.1397,32.62,10,97,4.32,SD,1681847036
238,waingapu,-9.6567,120.2641,24.77,89,98,3.19,ID,1681847036
239,kerikeri,-35.2268,173.9474,19.95,96,74,1.34,NZ,1681847036
240,singkil,-7.9855,111.4161,23.29,93,75,1.57,ID,1681847036
241,musan-up,42.2261,129.2078,2.84,56,0,2.5,KP,1681847036
242,butterworth,5.3991,100.3638,27.02,94,20,1.03,MY,1681847037
243,franceville,-1.6333,13.5836,24.21,80,4,0.91,GA,1681847037
244,puerto armuelles,8.2833,-82.8667,32.99,65,74,4.38,PA,1681847037
245,pisco,-13.7,-76.2167,27.03,61,97,11.32,PE,1681847037
246,polyarnyy,69.1989,33.4478,0.64,88,100,4.99,RU,1681847037
247,salgueiro,-8.0742,-39.1192,29.36,54,100,5.22,BR,1681847037
248,santiago,-33.4569,-70.6483,23.64,30,100,4.63,CL,1681846441
249,ushtobe,45.2514,77.9838,2.38,47,0,2.69,KZ,1681847038
